"Cubo: Brazil Competitive 3MIS - PSA"
"Colunas: Medidas (Nível4 - Contagem),Grupo de idade,Gênero"
"Linhas: Segmento PSA,Modelo substituído,Modelo PSA (2008,208,3008,308,408,Aircross,C3,C4 Cactus,C4 Lounge)"
"Ipsos RDA Quality Connection - CONFIDENCIAL"
"14/01/2020 07:39:09"

"Segmento PSA";"Modelo substituído";"Modelo PSA";"Nível4 - Contagem,[em branco],[em branco]";"Nível4 - Contagem,[em branco],Mulher";"Nível4 - Contagem,[em branco],Homem";"Nível4 - Contagem,Menos de 20,Mulher";"Nível4 - Contagem,Menos de 20,Homem";"Nível4 - Contagem,20-24,Mulher";"Nível4 - Contagem,20-24,Homem";"Nível4 - Contagem,25-29,Mulher";"Nível4 - Contagem,25-29,Homem";"Nível4 - Contagem,30-34,[em branco]";"Nível4 - Contagem,30-34,Mulher";"Nível4 - Contagem,30-34,Homem";"Nível4 - Contagem,35-39,Mulher";"Nível4 - Contagem,35-39,Homem";"Nível4 - Contagem,40-44,Mulher";"Nível4 - Contagem,40-44,Homem";"Nível4 - Contagem,45-49,Mulher";"Nível4 - Contagem,45-49,Homem";"Nível4 - Contagem,50-54,[em branco]";"Nível4 - Contagem,50-54,Mulher";"Nível4 - Contagem,50-54,Homem";"Nível4 - Contagem,55-59,Mulher";"Nível4 - Contagem,55-59,Homem";"Nível4 - Contagem,60-64,[em branco]";"Nível4 - Contagem,60-64,Mulher";"Nível4 - Contagem,60-64,Homem";"Nível4 - Contagem,65-69,Mulher";"Nível4 - Contagem,65-69,Homem";"Nível4 - Contagem,70-74,Mulher";"Nível4 - Contagem,70-74,Homem";"Nível4 - Contagem,75-79,Mulher";"Nível4 - Contagem,75-79,Homem";"Nível4 - Contagem,80 e mais,Mulher";"Nível4 - Contagem,80 e mais,Homem";
"Segmento B";"CIVIC";"208";"";"";"";"";"";"";"";24;"";"";"";"";"";"";"";73;"";"";"";24;102;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CIVIC";"C3";"";"";"";"";"";"";"";"";"";"";"";"";113;35;"";"";"";118;"";"";27;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CLASSIC";"208";"";"";"";"";"";"";"";"";"";"";"";79;"";"";"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;
"Segmento B";"CLASSIC";"C3";"";"";"";"";"";"";"";"";"";"";"";12;36;42;"";"";"";"";"";"";7;"";"";"";"";13;"";"";"";"";"";"";"";"";
"Segmento B";"CLIO";"208";"";"";"";"";"";"";"";100;"";"";55;173;"";"";8;67;32;"";"";13;20;"";"";"";"";55;"";"";"";"";"";"";"";"";
"Segmento B";"CLIO";"C3";"";"";"";"";"";"";"";"";31;"";50;93;24;"";"";"";"";"";"";"";"";"";"";"";6;"";"";"";"";"";"";"";"";"";
"Segmento B";"COBALT";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";24;"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"COMPASS";"208";"";"";"";"";"";29;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"COOPER";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";53;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"COROLLA";"208";"";"";"";"";"";"";"";"";119;"";"";"";"";"";"";"";"";38;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"COROLLA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";112;"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CORSA";"208";"";"";"";"";"";"";"";"";"";"";"";"";59;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CORSA";"C3";"";"";"";"";"";"";"";"";11;"";"";19;11;19;12;"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CROSSFOX";"208";"";"";"";"";"";"";"";"";125;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CRUZE";"208";"";"";"";"";"";"";31;"";"";"";"";212;"";"";"";134;"";"";"";"";"";20;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"CRUZE";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";18;"";"";73;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"DOBLO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";
"Segmento B";"DUSTER";"208";"";"";"";"";"";"";"";"";"";"";95;54;"";"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"DUSTER";"C3";"";"";"";"";"";"";"";"";"";"";21;"";"";"";"";"";"";28;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
