"Cubo: Brazil Competitive 3MIS - PSA"
"Colunas: Medidas (Nível4 - Contagem),Grupo de idade,Gênero"
"Linhas: Segmento PSA,Modelo substituído,Modelo PSA (2008,208,3008,308,408,Aircross,C3,C4 Cactus,C4 Lounge)"
"Ipsos RDA Quality Connection - CONFIDENCIAL"
"14/01/2020 07:39:09"

"Segmento PSA";"Modelo substituído";"Modelo PSA";"Nível4 - Contagem,[em branco],[em branco]";"Nível4 - Contagem,[em branco],Mulher";"Nível4 - Contagem,[em branco],Homem";"Nível4 - Contagem,Menos de 20,Mulher";"Nível4 - Contagem,Menos de 20,Homem";"Nível4 - Contagem,20-24,Mulher";"Nível4 - Contagem,20-24,Homem";"Nível4 - Contagem,25-29,Mulher";"Nível4 - Contagem,25-29,Homem";"Nível4 - Contagem,30-34,[em branco]";"Nível4 - Contagem,30-34,Mulher";"Nível4 - Contagem,30-34,Homem";"Nível4 - Contagem,35-39,Mulher";"Nível4 - Contagem,35-39,Homem";"Nível4 - Contagem,40-44,Mulher";"Nível4 - Contagem,40-44,Homem";"Nível4 - Contagem,45-49,Mulher";"Nível4 - Contagem,45-49,Homem";"Nível4 - Contagem,50-54,[em branco]";"Nível4 - Contagem,50-54,Mulher";"Nível4 - Contagem,50-54,Homem";"Nível4 - Contagem,55-59,Mulher";"Nível4 - Contagem,55-59,Homem";"Nível4 - Contagem,60-64,[em branco]";"Nível4 - Contagem,60-64,Mulher";"Nível4 - Contagem,60-64,Homem";"Nível4 - Contagem,65-69,Mulher";"Nível4 - Contagem,65-69,Homem";"Nível4 - Contagem,70-74,Mulher";"Nível4 - Contagem,70-74,Homem";"Nível4 - Contagem,75-79,Mulher";"Nível4 - Contagem,75-79,Homem";"Nível4 - Contagem,80 e mais,Mulher";"Nível4 - Contagem,80 e mais,Homem";
"Segmento B Tout-terrain";"BMW_1";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";18;"";"";9;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BMW_OTH";"2008";"";"";"";"";"";"";"";"";"";"";"";132;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BMW_OTH";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BMW_X1";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;87;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BRAVO";"2008";"";11;"";"";"";"";"";"";"";"";"";"";"";48;"";64;"";"";"";"";"";"";40;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BRAVO";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BRAVO";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";60;"";"";28;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"C3_AIR";"2008";"";"";"";"";"";"";"";"";13;"";"";"";26;"";26;"";"";"";"";"";"";"";49;"";34;"";"";3;"";"";"";"";"";"";
"Segmento B Tout-terrain";"C3_AIR";"Aircross";"";"";"";"";"";"";13;"";"";"";175;"";"";23;18;148;24;89;"";38;27;106;"";"";"";65;24;80;"";17;"";"";"";"";
"Segmento B Tout-terrain";"C3_AIR";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";28;"";10;185;"";57;10;52;"";23;85;"";29;"";"";20;8;15;"";27;"";"";23;"";
"Segmento B Tout-terrain";"CAPTIVA";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";86;"";67;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CAPTIVA";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";60;"";"";"";"";"";"";"";"";"";73;"";"";"";"";"";"";
"Segmento B Tout-terrain";"CAPTUR";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";46;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CARENS";"2008";"";"";"";"";"";"";"";"";"";"";"";"";34;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CARENS";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";25;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CELER";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";44;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CELTA";"2008";"";"";"";"";"";"";"";"";67;"";"";"";10;"";"";22;"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CELTA";"Aircross";"";"";"";"";"";"";"";"";"";"";"";13;19;"";18;"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CELTA";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";4;5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CERATO";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";"";"";3;25;"";"";"";94;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CERATO";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";51;
"Segmento B Tout-terrain";"CHV_OTH";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";10;"";"";"";"";"";"";
"Segmento B Tout-terrain";"CHV_OTH";"Aircross";"";"";"";"";"";"";"";"";"";"";"";26;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_C3";"2008";"";"";"";"";"";19;"";33;26;"";8;304;179;213;68;47;109;"";"";"";175;51;33;"";"";82;"";25;"";"";"";"";9;"";
"Segmento B Tout-terrain";"CIT_C3";"Aircross";"";24;32;"";"";"";"";"";49;"";272;218;136;612;238;115;119;44;"";83;172;76;228;"";59;214;7;42;11;16;"";8;"";"";
"Segmento B Tout-terrain";"CIT_C3";"C4 Cactus";"";6;"";"";"";"";"";48;34;"";77;166;335;231;162;133;493;378;"";32;166;45;71;"";11;55;174;24;11;"";"";"";15;"";
"Segmento B Tout-terrain";"CIT_C4";"2008";"";"";150;"";"";"";"";"";"";"";"";"";"";"";"";28;"";"";"";"";20;"";16;"";3;"";"";14;"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_C4";"Aircross";"";6;"";"";"";"";"";"";"";"";27;"";"";65;22;"";37;"";"";"";"";12;19;"";"";15;"";16;"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_C4";"C4 Cactus";"";"";"";"";"";"";"";"";36;"";"";40;"";222;61;181;44;104;"";"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_C5";"Aircross";"";"";28;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_DS3";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_DS4";"2008";"";"";"";"";"";"";"";"";"";"";"";"";35;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_DS4";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_DS5";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";21;"";"";"";"";12;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_DS5";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_OTH";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";43;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_OTH";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";50;"";"";"";8;12;"";"";20;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIT_OTH";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";125;"";6;"";"";"";18;"";"";"";"";36;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CITY";"2008";"";"";"";"";"";"";"";"";79;"";"";"";189;114;32;236;"";39;"";"";45;"";48;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CITY";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";41;"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CITY";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";82;11;127;"";"";"";"";"";62;"";76;73;"";"";80;66;8;"";"";8;"";"";"";
"Segmento B Tout-terrain";"CIVIC";"2008";"";"";"";"";"";"";"";"";"";"";76;29;18;219;"";70;"";89;"";"";27;"";19;"";36;"";"";21;"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIVIC";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";107;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CIVIC";"C4 Cactus";"";"";"";"";"";"";"";"";19;"";"";60;32;201;113;194;98;33;"";"";47;40;22;"";"";"";"";"";"";23;"";"";"";"";
"Segmento B Tout-terrain";"CLASSIC";"2008";"";"";"";"";"";"";"";"";"";"";"";26;27;33;13;"";"";57;"";"";16;"";"";"";"";28;"";27;"";19;"";"";"";"";
"Segmento B Tout-terrain";"CLASSIC";"Aircross";"";"";"";"";"";"";"";"";"";"";"";17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CLASSIC";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CLIO";"2008";"";"";"";"";"";"";"";"";"";"";"";131;"";"";"";8;11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CLIO";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";28;"";"";"";"";"";"";"";"";"";"";12;"";25;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"COBALT";"2008";"";14;"";"";"";"";"";"";"";"";"";20;29;37;"";"";"";151;"";"";"";"";"";"";"";41;"";18;"";26;"";"";"";"";
"Segmento B Tout-terrain";"COBALT";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";19;"";"";10;"";64;"";"";"";"";"";"";"";45;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"COBALT";"C4 Cactus";"";"";"";"";"";"";"";"";12;"";35;"";"";43;139;34;"";29;"";"";27;"";12;"";19;"";"";17;"";"";"";"";"";9;
"Segmento B Tout-terrain";"COMPASS";"C4 Cactus";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9;"";"";"";32;"";"";
"Segmento B Tout-terrain";"COROLLA";"2008";"";"";77;"";"";"";"";9;132;"";"";9;"";29;"";49;"";26;"";7;95;37;10;"";"";"";"";16;"";"";"";"";33;"";
"Segmento B Tout-terrain";"COROLLA";"Aircross";"";"";"";"";"";"";"";"";"";"";"";68;"";"";"";"";"";"";"";"";"";"";"";"";"";40;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"COROLLA";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";179;"";267;"";163;"";104;"";"";18;44;"";"";"";6;"";21;"";24;"";"";"";"";
"Segmento B Tout-terrain";"CORSA";"2008";"";"";"";"";"";"";"";"";"";"";80;"";"";60;16;10;"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CORSA";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";62;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CORSA";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CROSSFOX";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";41;"";"";"";"";"";"";"";73;"";"";73;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CROSSFOX";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";33;162;59;"";46;"";"";24;49;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CROSSFOX";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";15;"";"";8;"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CRUZE";"2008";"";"";"";"";"";"";"";"";"";"";"";15;"";"";"";17;"";"";"";"";69;"";41;"";"";"";"";"";"";24;"";"";"";"";
"Segmento B Tout-terrain";"CRUZE";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"CRUZE";"C4 Cactus";"";"";"";"";"";"";25;"";"";"";"";"";50;"";35;99;"";"";"";20;11;"";"";"";"";"";"";43;"";"";"";"";"";"";
"Segmento B Tout-terrain";"CRUZES6";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";91;"";"";"";"";"";"";"";"";"";"";"";38;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"DISCOVER";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";37;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"DOBLO";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";19;"";"";"";"";118;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"DOBLO";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11;"";"";8;"";52;5;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"DUSTER";"2008";"";"";"";"";"";"";"";73;"";"";13;"";6;124;166;61;"";145;"";82;50;9;268;"";113;54;"";94;"";"";"";"";"";"";
"Segmento B Tout-terrain";"DUSTER";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";34;127;39;"";"";"";"";64;"";5;"";"";6;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"DUSTER";"C4 Cactus";"";"";1;"";"";"";"";"";"";"";"";"";"";230;10;65;16;61;"";"";104;11;139;"";"";"";"";30;19;3;"";"";"";"";
"Segmento B Tout-terrain";"DUSTORO";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";80;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"DUSTORO";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";"";"";"";
"Segmento B Tout-terrain";"DUSTORO";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;"";"";"";"";"";"";7;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ECOSPORT";"2008";"";45;21;"";"";31;"";17;"";"";9;11;46;260;28;250;9;379;"";120;59;8;4;"";"";46;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ECOSPORT";"Aircross";9;"";"";"";"";5;"";"";"";"";27;199;"";63;"";33;42;34;"";"";110;6;145;"";"";86;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ECOSPORT";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";8;256;"";23;"";79;"";80;"";"";170;"";"";"";"";27;"";36;"";"";"";"";"";13;
"Segmento B Tout-terrain";"EDGE";"2008";"";"";"";"";"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"EDGE";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";81;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ELANTRA";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";60;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ELANTRA";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ESCAPADE";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";24;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ESCORT";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;17;"";"";"";12;"";28;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ESCORT";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";18;"";"";"";"";3;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ESCORT";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";10;"";"";"";"";"";"";
"Segmento B Tout-terrain";"ETIOS";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";43;10;"";"";48;108;11;28;"";"";63;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ETIOS";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";168;"";"";58;"";"";"";"";143;13;24;"";"";36;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ETIOS";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";126;8;135;96;"";"";"";"";"";"";11;"";"";"";"";17;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ETIOSCRO";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";16;"";"";"";18;"";"";"";"";"";
"Segmento B Tout-terrain";"ETIOSCRO";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";26;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FD_OTH";"2008";"";"";"";"";"";"";"";"";"";"";"";23;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FD_OTH";"C4 Cactus";"";"";"";"";"";"";"";"";51;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIA_OTH";"2008";"";24;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";31;"";"";11;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIA_OTH";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";17;"";65;"";"";"";"";5;11;"";"";"";8;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIA_OTH";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11;8;"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIAT_500";"2008";"";"";"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";37;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIAT_500";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";60;131;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIAT_500";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";24;8;35;8;"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIAT_MO";"2008";"";"";"";"";"";"";"";63;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIAT_MO";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";34;"";"";24;"";"";"";"";"";"";"";3;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIELDER";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";38;"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIESTA";"2008";26;"";"";"";"";"";"";121;"";"";132;51;46;333;48;162;156;74;"";92;109;183;162;"";27;98;"";73;"";33;"";"";"";"";
"Segmento B Tout-terrain";"FIESTA";"Aircross";"";27;25;"";"";"";"";"";"";"";8;44;"";28;94;225;8;71;"";"";89;10;40;"";"";"";"";9;"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIESTA";"C4 Cactus";"";"";"";"";"";"";"";59;"";"";30;445;63;220;"";211;25;266;"";227;67;40;114;"";59;62;25;3;"";"";39;"";"";"";
"Segmento B Tout-terrain";"FIT";"2008";22;"";27;"";"";"";"";"";"";"";112;"";57;107;57;115;144;211;"";"";12;94;13;"";22;94;5;"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FIT";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";"";"";"";"";"";"";"";"";"";55;"";20;"";"";"";31;"";"";"";
"Segmento B Tout-terrain";"FIT";"C4 Cactus";"";"";30;"";"";"";"";"";34;"";57;22;24;"";9;83;"";63;"";5;"";98;104;"";45;19;27;"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FLUENCE";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";44;20;62;"";"";19;"";"";"";"";16;5;"";"";"";"";30;"";"";
"Segmento B Tout-terrain";"FLUENCE";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";56;"";"";43;50;62;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOCUS";"2008";7;"";"";"";"";"";"";"";59;"";"";20;"";256;"";134;"";74;"";"";110;47;117;"";"";24;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOCUS";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";13;73;"";"";"";"";"";"";"";23;"";"";14;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOCUS";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";81;22;"";"";15;"";"";"";"";379;"";30;"";57;"";41;17;"";90;"";"";"";"";
"Segmento B Tout-terrain";"FOCUS_FB";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";34;"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOCUS_FB";"Aircross";"";"";"";"";"";"";"";"";"";"";"";218;126;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOCUS_FB";"C4 Cactus";"";"";22;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";69;"";"";"";86;"";"";
"Segmento B Tout-terrain";"FORESTER";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";74;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FORTWO";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";10;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOX";"2008";"";"";"";"";"";"";"";17;18;"";4;136;24;167;52;"";"";"";"";22;93;"";36;"";"";12;"";"";"";"";"";"";9;23;
"Segmento B Tout-terrain";"FOX";"Aircross";19;"";"";"";"";"";"";"";"";"";74;32;125;9;6;"";"";78;"";"";23;17;36;"";85;"";"";6;"";"";"";"";"";"";
"Segmento B Tout-terrain";"FOX";"C4 Cactus";"";"";"";"";"";"";"";"";35;"";"";47;12;54;156;"";101;"";"";"";"";"";10;"";67;"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FREEMONT";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FREEMONT";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";48;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FRONTIER";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FUSION";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";53;"";"";111;"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FUSION";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";185;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"FUSION_H";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GLIVINA";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23;"";"";"";
"Segmento B Tout-terrain";"GLY_EC7";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";70;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GLY_OTH";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GOL";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";60;"";27;"";33;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GOL";"Aircross";"";"";"";"";"";"";"";"";"";"";11;31;20;"";50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GOL";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GOLF";"2008";"";"";"";"";"";"";"";"";"";"";"";"";5;113;"";13;"";"";"";"";"";"";74;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"GOLF";"Aircross";53;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
